state,offender_type,variable_category,variable_detailed,value,value_type,value_source
Indiana,Combined,race,Hispanic,12030.0,count,calculated
Indiana,Combined,race,Other,1504.0,count,calculated
Maine,Combined,total,total_profiles,33711.0,count,reported
Maine,Combined,gender,Male,27694.0,count,reported
Maine,Combined,gender,Male,82.7,percentage,reported
Maine,Combined,gender,Female,5734.0,count,reported
Maine,Combined,gender,Female,17.0,percentage,reported
Maine,Combined,gender,Unknown,83.0,count,reported
Maine,Combined,gender,Unknown,0.2,percentage,reported
Maine,Combined,race,White,31298.0,count,reported
Maine,Combined,race,White,92.8,percentage,reported
Maine,Combined,race,Black,1299.0,count,reported
Maine,Combined,race,Black,3.9,percentage,reported
Maine,Combined,race,Unknown,470.0,count,reported
Maine,Combined,race,Unknown,1.4,percentage,reported
Maine,Combined,race,Native American,345.0,count,reported
Maine,Combined,race,Native American,1.0,percentage,reported
Maine,Combined,race,Hispanic,171.0,count,reported
Maine,Combined,race,Hispanic,0.5,percentage,reported
Maine,Combined,race,Asian,128.0,count,reported
Maine,Combined,race,Asian,0.4,percentage,reported
Nevada,Combined,total,total_flags,344097.0,count,reported
Nevada,Arrestee,total,total_profiles,185074.0,count,reported
Nevada,Arrestee,total,total_profiles,53.785,percentage,reported
Nevada,Convicted Offender,total,total_profiles,159023.0,count,reported
Nevada,Convicted Offender,total,total_profiles,46.215,percentage,reported
Nevada,Combined,gender,Female,63287.0,count,reported
Nevada,Combined,gender,Female,18.392,percentage,reported
Nevada,Combined,gender,Male,280738.0,count,reported
Nevada,Combined,gender,Male,81.587,percentage,reported
Nevada,Combined,gender,Unknown,72.0,count,reported
Nevada,Combined,gender,Unknown,0.0209,percentage,reported
Nevada,Combined,race,White,238723.0,count,reported
Nevada,Combined,race,White,69.377,percentage,reported
Nevada,Combined,race,Unknown,3491.0,count,reported
Nevada,Combined,race,Unknown,1.015,percentage,reported
Nevada,Combined,race,American Indian,5710.0,count,reported
Nevada,Combined,race,American Indian,1.659,percentage,reported
Nevada,Combined,race,Black,88174.0,count,reported
Nevada,Combined,race,Black,25.625,percentage,reported
Nevada,Combined,race,Asian,7999.0,count,reported
Nevada,Combined,race,Asian,2.346,percentage,reported
South Dakota,Combined,total,total_profiles,67753.0,count,reported
South Dakota,Combined,gender,Male,51197.0,count,reported
South Dakota,Combined,gender,Male,75.56,percentage,reported
South Dakota,Combined,gender,Female,16556.0,count,reported
South Dakota,Combined,gender,Female,24.44,percentage,reported
South Dakota,Combined,race,Asian,5.0,count,reported
South Dakota,Combined,race,Asian,0.08,percentage,reported
South Dakota,Combined,race,Black,4041.0,count,reported
South Dakota,Combined,race,Black,5.96,percentage,reported
South Dakota,Combined,race,Hispanic,2949.0,count,reported
South Dakota,Combined,race,Hispanic,4.35,percentage,reported
South Dakota,Combined,race,Native American,14593.0,count,reported
South Dakota,Combined,race,Native American,21.54,percentage,reported
South Dakota,Combined,race,Other/Unknown,891.0,count,reported
South Dakota,Combined,race,Other/Unknown,1.32,percentage,reported
South Dakota,Combined,race,White/Caucasian,45223.0,count,reported
South Dakota,Combined,race,White/Caucasian,66.75,percentage,reported
South Dakota,Combined,gender_race,Male_Asian,5.0,count,reported
South Dakota,Combined,gender_race,Male_Asian,0.1,percentage,reported
South Dakota,Combined,gender_race,Female_Asian,5.0,count,reported
South Dakota,Combined,gender_race,Female_Asian,0.03,percentage,reported
South Dakota,Combined,gender_race,Male_Black,3445.0,count,reported
South Dakota,Combined,gender_race,Male_Black,6.73,percentage,reported
South Dakota,Combined,gender_race,Female_Black,596.0,count,reported
South Dakota,Combined,gender_race,Female_Black,3.6,percentage,reported
South Dakota,Combined,gender_race,Male_Hispanic,2560.0,count,reported
South Dakota,Combined,gender_race,Male_Hispanic,5.0,percentage,reported
South Dakota,Combined,gender_race,Female_Hispanic,389.0,count,reported
South Dakota,Combined,gender_race,Female_Hispanic,2.35,percentage,reported
South Dakota,Combined,gender_race,Male_Native American,9699.0,count,reported
South Dakota,Combined,gender_race,Male_Native American,18.94,percentage,reported
South Dakota,Combined,gender_race,Female_Native American,4894.0,count,reported
South Dakota,Combined,gender_race,Female_Native American,29.56,percentage,reported
South Dakota,Combined,gender_race,Male_Other/Unknown,719.0,count,reported
South Dakota,Combined,gender_race,Male_Other/Unknown,1.4,percentage,reported
South Dakota,Combined,gender_race,Female_Other/Unknown,172.0,count,reported
South Dakota,Combined,gender_race,Female_Other/Unknown,1.04,percentage,reported
South Dakota,Combined,gender_race,Male_White/Caucasian,34723.0,count,reported
South Dakota,Combined,gender_race,Male_White/Caucasian,67.82,percentage,reported
South Dakota,Combined,gender_race,Female_White/Caucasian,10500.0,count,reported
South Dakota,Combined,gender_race,Female_White/Caucasian,63.42,percentage,reported
Texas,Convicted Offender,total,total_profiles,845322.0,count,reported
Texas,Arrestee,total,total_profiles,73631.0,count,reported
Texas,Convicted Offender,gender,Female,121434.0,count,reported
Texas,Arrestee,gender,Female,18721.0,count,reported
Texas,Convicted Offender,race,Asian,3361.0,count,reported
Texas,Convicted Offender,race,African American,254366.0,count,reported
Texas,Convicted Offender,race,Caucasian,309010.0,count,reported
Texas,Convicted Offender,race,Hispanic,276245.0,count,reported
Texas,Convicted Offender,race,Native American,138.0,count,reported
Texas,Convicted Offender,race,Other,2173.0,count,reported
Texas,Arrestee,race,Asian,497.0,count,reported
Texas,Arrestee,race,African American,12903.0,count,reported
Texas,Arrestee,race,Caucasian,33486.0,count,reported
Texas,Arrestee,race,Hispanic,24202.0,count,reported
Texas,Arrestee,race,Native American,24.0,count,reported
Texas,Arrestee,race,Other,358.0,count,reported
Texas,Combined,gender,Female,140155.0,count,calculated
Texas,Combined,race,African American,267269.0,count,calculated
Texas,Combined,race,Asian,3858.0,count,calculated
Texas,Combined,race,Caucasian,342496.0,count,calculated
Texas,Combined,race,Hispanic,300447.0,count,calculated
Texas,Combined,race,Native American,162.0,count,calculated
Texas,Combined,race,Other,2531.0,count,calculated
Texas,Combined,total,total_profiles,918953.0,count,calculated
Texas,Convicted Offender,gender,Female,14.37,percentage,calculated
Texas,Convicted Offender,race,Asian,0.4,percentage,calculated
Texas,Convicted Offender,race,African American,30.09,percentage,calculated
Texas,Convicted Offender,race,Caucasian,36.56,percentage,calculated
Texas,Convicted Offender,race,Hispanic,32.68,percentage,calculated
Texas,Convicted Offender,race,Native American,0.02,percentage,calculated
Texas,Convicted Offender,race,Other,0.26,percentage,calculated
Texas,Arrestee,gender,Female,25.43,percentage,calculated
Texas,Arrestee,race,Asian,0.67,percentage,calculated
Texas,Arrestee,race,African American,17.52,percentage,calculated
Texas,Arrestee,race,Caucasian,45.48,percentage,calculated
Texas,Arrestee,race,Hispanic,32.87,percentage,calculated
Texas,Arrestee,race,Native American,0.03,percentage,calculated
Texas,Arrestee,race,Other,0.49,percentage,calculated
Texas,Combined,gender,Female,15.25,percentage,calculated
Texas,Combined,race,African American,29.08,percentage,calculated
Texas,Combined,race,Asian,0.42,percentage,calculated
Texas,Combined,race,Caucasian,37.27,percentage,calculated
Texas,Combined,race,Hispanic,32.69,percentage,calculated
Texas,Combined,race,Native American,0.02,percentage,calculated
Texas,Combined,race,Other,0.28,percentage,calculated
